445082	Kids_and_Teens	26164	Kids and Teens is an Internet directory created by Curlie especially for children and teenagers. It includes both sites designed specifically for children and/or teens as well as sites designed for general audiences. It does not include sites that are designed primarily to sell merchandise, sites that use profanity or obscenity, or sites that contain sexually explicit content. 		
445712	Kids_and_Teens/Arts	851	This category lists art-related sites appropriate for children and teenagers. It includes sites that are designed to help young people increase their appreciation for the arts, expand their knowledge of the arts, and develop their own artistic abilities. 		
445890	Kids_and_Teens/Arts/Creative_Writing	10	This category lists pages and sites that feature the writings of children and teenagers. It includes personal collections as well as sites that publish original writings online at no charge. Some sites accept submissions online, and other require that you send them in by postal mail. 		
445891	Kids_and_Teens/Arts/Creative_Writing/Kids_Only	0	This category is for sites targeted at kids only.  No work by teens will be displayed on these sites. 		
445893	Kids_and_Teens/Arts/Creative_Writing/Read_Only	1	These are websites which publish work written by kids and teens, but do not accept submissions via the web. 		
445892	Kids_and_Teens/Arts/Creative_Writing/Teens_Only	5	Work displayed in this category is by teens and only teens.   		
445715	Kids_and_Teens/Arts/Dance	161	<p><font color="#0000fa"><b>This category lists dance related web sites appropriate for, and of interest to, children under the age of 18. All sites are either educational, reference oriented, or informational in nature.   </b></font><p>Sites listed in the main <font color="#0000FA"><b>Dance</b> </font>category each cover a variety of topics, such as dance styles, dancers, the history of dance, competitions, costumes and schools. </p>   <p> 		
445724	Kids_and_Teens/Arts/Dance/Costumes	0	Costumes and costume making for all kinds of dance. 		
445716	Kids_and_Teens/Arts/Dance/Schools	148	Instruction in dance for kids and teens. To submit an URL:  Select a continent where your school is located. 		
1006357	Kids_and_Teens/Arts/Dance/Schools/Asia	4	For sites about children''s dance schools in Asia 		
1006364	Kids_and_Teens/Arts/Dance/Schools/Australia	6	Australian Dance Schools for Kids and Teens 		
445717	Kids_and_Teens/Arts/Dance/Schools/Europe	19	 		
445718	Kids_and_Teens/Arts/Dance/Schools/North_America	119	 		
445896	Kids_and_Teens/Arts/Design	10	 		
445897	Kids_and_Teens/Arts/Design/Fashion	3	 		
445713	Kids_and_Teens/Arts/Filmmaking	7	This category is for sites about the process of filmmaking. We have categories over in Entertainment for <a href="https://curlie.org/Kids_and_Teens/Entertainment/Animation/">Animation</a> and <a href="https://curlie.org/Kids_and_Teens/Entertainment/Movies/">Movies/a> that have already been produced. 		
445714	Kids_and_Teens/Arts/Filmmaking/Festivals	1	Sites about festivals feature films made by youth. 		
445850	Kids_and_Teens/Arts/Graphic_Design	37	<p>Sites listed in the <font color="#660000"><strong>Graphic Design</strong></font> category   cover a variety of topics such as educational and informative sites, typography   and typographers, historically significant   designers and the history of graphic design.   Please check for the most appropriate subcategory prior to suggesting your   site. All sites are suitable for children and teens to read and use for enjoyment   or   for schoolwork. 		
445857	Kids_and_Teens/Arts/Graphic_Design/Graphic_Designers	20	<p>This category includes sites about well known and historical <strong><font color="#660000">Graphic     Designers</font></strong>. Biographies   may be brief and sites may have several, perhaps connected by occupation, but   the information contained should have the basic details, e.g., birth and death dates, some details of the life lived, major accomplishments, and so forth.   <b>All sites are suitable for children and teens to read and use for enjoyment   or for schoolwork. </b></p> 		
445862	Kids_and_Teens/Arts/Graphic_Design/Graphic_Designers/Bass,_Saul	3	<p>This category lists pages and sites about,<strong> Saul     Bass</strong> (1920 - 1996) who is one of the great graphic designers of the   mid-20th century and the undisputed master of film title design thanks to his collaborations with Alfred Hitchcock, Otto Preminger and Martin Scorsese. He was born in the Bronx district of New York.</p> <p><strong>All sites listed here are suitable for children   and teens to read and use for enjoyment and/or for schoolwork.</strong></p> <p><a href="/guidelines/kguidelines/">Kids and Teens ODP Editing Guidelines</a></p>   		
445863	Kids_and_Teens/Arts/Graphic_Design/Graphic_Designers/Bernbach,_William	1	<p><strong><font color="#660000">William (Bill) Bernbach</font></strong> (1911-1982)   was a notable figure in the history of American advertising. He was one of   the three founders of Doyle Dane Bernbach.   It could be argued that Bernbach, with his devotion to creativity and offbeat   themes, "invented" modern advertising. The ad campaign he directed   for the Volkswagen Beetle is widely regarded as one of the best ever in the   history of advertising. He is also credited with being the first to combine   copywriters and art directors into two-person 'teams' – they had commonly   been in separate departments – a model that still flourishes in advertising agencies today. (Wikipedia)</p> <p><strong>All sites listed here are suitable for children and teens to read and use   for enjoyment and/or for schoolwork.</strong></p>   		
445864	Kids_and_Teens/Arts/Graphic_Design/Graphic_Designers/Carson,_David	2	<p>This category lists pages and sites about the American graphic designer, <font color="#660000"><strong>David     Carson</strong></font>   who born in 1956 in Corpus Christi, Texas. Carson     is almost universally acknowledged as the greatest and certainly the most     influential graphic designer of the nineties. In particular, his widely-imitated     aesthetic defined the so-called "grunge" era.<br> </p> <p><strong>All sites listed here are suitable for children and teens to read and use   for enjoyment and/or for schoolwork.</strong><br> </p>   		
445859	Kids_and_Teens/Arts/Graphic_Design/Graphic_Designers/Cassandre,_A._M.	2	<p>This category lists pages and sites about <font color="#660000"> <strong>A.       M. Cassandre</strong> </font>(January 24, 1901 – June   19, 1968). Born Adolphe Jean-Marie Mouron in Kharkov, Ukraine to French parents,   he       was an influential graphic designer, type designer, painter, set-designer,   and teacher.<br> </p> <p><strong>All sites listed here are suitable for children and teens to read and use for enjoyment and/or for schoolwork.</strong></p>   		
445866	Kids_and_Teens/Arts/Graphic_Design/Graphic_Designers/Glaser,_Milton	4	<p>This category lists pages and sites about the graphic designer <strong>Milton     Glaser,</strong> an icon of American graphic design and the creator of the "I     Love New York" logo. He was  born 26.6.1929 in New York.<br> </p> <p><strong>All sites listed here are suitable for children   and teens to read and use for enjoyment and/or for schoolwork.</strong></p>   		
445865	Kids_and_Teens/Arts/Graphic_Design/Graphic_Designers/Loewy,_Raymond	2	<p>This category lists pages and sites about the French born American designer <strong>Raymond     Loewy</strong>  (born November 5, 1893 in  Paris, France   ) known as "The Father of Industrial Design". </p> <p><strong>All sites listed here are suitable for children   and teens to read and use for enjoyment and/or for schoolwork.</strong></p> <p><a href="/guidelines/kguidelines/">Kids and Teens ODP Editing Guidelines</a></p> 		
445860	Kids_and_Teens/Arts/Graphic_Design/Graphic_Designers/Rand,_Paul	4	<p>This category lists pages and sites about <font color="#660000"><strong>Paul     Rand</strong></font>,   born Peretz Rosenbaum (August 15, 1914 - November     26, 1996), who was a well-known American graphic designer, best known for his corporate logo designs. <br> </p> <p><strong>All sites listed here are suitable for children and teens to read and use for enjoyment and/or for schoolwork.</strong></p>   		
445858	Kids_and_Teens/Arts/Graphic_Design/Graphic_Designers/VanderLans,_Rudy	2	<p>This category lists pages and sites about type and graphic designer<font color="#660000"><strong> Rudy       VanderLans. </strong></font> VanderLans is       a Dutch type and graphic designer and the co-founder of Emigre, an independent   type foundry. </p> <p><strong>All sites listed here are suitable for children and teens to read and use     for enjoyment and/or for schoolwork.</strong></p>   		
445856	Kids_and_Teens/Arts/Graphic_Design/History	2	<p>The <font color="#660000"><strong>History</strong></font> of Graphic Design    category is for sites about the processes and events of the past which have    greatly impacted the profession and study of graphic design. All sites are    suitable for children and teens to read and use for enjoyment or    for schoolwork.</p> 		
445851	Kids_and_Teens/Arts/Graphic_Design/Typography	11	<p>Sites listed here pertain to<font color="#660000"><strong> Typography</strong></font> which    is the art of creating and using letterforms as a graphic design  tool. <b>All sites are      suitable for children and teens to read and use for enjoyment or      for schoolwork.</b></p> 		
445852	Kids_and_Teens/Arts/Graphic_Design/Typography/Typographers	8	<p> All sites are suitable for children and teens to read and use for enjoyment      or        for schoolwork.        Biographies        may be brief and sites may have several, perhaps connected by occupation,      but the information contained should have the basic details, e.g., birth    and death    dates, some details of the life lived, major accomplishments, and so forth.</p> 		
445855	Kids_and_Teens/Arts/Graphic_Design/Typography/Typographers/Baskerville,_John	4	<p>Born in 1706 in Worcestershire, England, <font color="#660000"><strong>John Baskerville</strong></font> was a writing master,    stonecutter, letter designer, typefounder and printer. The Baskerville font  is his namesake.</p>   		
445854	Kids_and_Teens/Arts/Graphic_Design/Typography/Typographers/Garamond,_Claude	3	<p><strong><font color="#660000">Claude Garamond</font></strong> was a Parisian designer and maker of printing types who lived  from 1480-1561.</p>   		
445853	Kids_and_Teens/Arts/Graphic_Design/Typography/Typographers/Goudy,_Frederic_William	1	<p>Born in Bloomington, Illinois in 1865, <font color="#660000"><strong>Frederic</strong></font> <strong><font color="#660000">Goudy</font></strong>  was one of the most prolific type designers in history, creating a total of   124 type designs during his career.</p>   		
445755	Kids_and_Teens/Arts/Music	380	This category lists music-related web sites appropriate for, and of interest to, children under the age of 18. All sites are either educational, reference oriented, or informational in nature.  <p>  Sites listed in the main Music category each cover a variety of musical topics, such as instrument types, theory, history and styles. If you're looking for web sites that are more focused on one particular aspect of music, please check the appropriate sub-categories.   		
445849	Kids_and_Teens/Arts/Music/Examinations	5	This category is for sites providing information about music examinations open to external candidates including children and teenagers. Examples include practical, performance and music theory examinations.   		
445756	Kids_and_Teens/Arts/Music/History	2	Music history is the study of how music has evolved over time.  Sites in this category cover the roots and origins of music, for example music from prehistoric times, including early songs accented by hand-clapping, the evolution of rhythmic, percussive instruments from stones, and the finding of thirty-thousand-year-old bone flutes in archaeological sites.   With the onset of the Renaissance in 1465, the rules of music changed significantly, and the history of music from this time onwards is traced in categories about styles, instruments and composers.       <p>    Sites are appropriate for, and of interest to, children under the age of 18. All sites are either educational, reference oriented, or informational in nature.   		
445768	Kids_and_Teens/Arts/Music/Instruments	109	Sites listed here provide information about musical instruments. Listed sites may be about different types of musical instruments or about a specific instrument.   <p>  Websites included in this category are either educational, reference oriented, or informational in nature.</p>  <p>  Examples of suitable topics include: the history and invention of an instrument; repertoire and compositions written for a specific instrument; the proper care of a type of instrument; physical description of an instrument including size, material composition, sound properties and appearance; playing tips, tuning, fingering and instrument-specific technique; and the process used in crafting or manufacturing an instrument.</p> 		
445771	Kids_and_Teens/Arts/Music/Instruments/Brass	10	Instruments that are sounded by the buzzing of the player's lips. Brass instruments typically consist of a tube with a mouthpiece at one end and a flared opening at the other. Some members of the brass family are the trumpet, trombone, and euphonium.   		
445773	Kids_and_Teens/Arts/Music/Instruments/Brass/Didgeridoo	1	The didgeridoo is a wind instrument one to two meters long. It is traditionally made of eucalyptus or other hardwood. It is played by vibrating the lips and produces a low drone.   		
445796	Kids_and_Teens/Arts/Music/Instruments/Classical	1	The word 'classical' really has two meanings: firstly, it is used when music is described as belonging to one of two broad categories, for example 'pop' and 'classical'. However, when it is written with a capital 'C', it refers to the short period of time between approximately 1750 and 1820.   The Symphony Orchestra, as we know it, was developed during the Classical period. The piano was also invented and this instrument eventually took over from the harpsichord. The violin, viola and cello were frequently combined to form string quartets.   From about 1830, composers began to compose in a more imaginative, emotional way. These works are said to be in the 'Romantic' style. The Romantic composers were inspired by things such as dreams, literature and the supernatural. As more instruments were developed, the orchestra grew much bigger throughout the century. Instruments now included the piccolo, cor anglais, bass clarinet, trombone, tuba and double bass.   Sites in this category cover instruments used in music written in the classical tradition from approximately 1750 onwards. This includes instruments used in the Classical and Romantic periods, as well as in 'classical' music from the twentieth century to the present.   		
445790	Kids_and_Teens/Arts/Music/Instruments/Early	1	Music composed before approximately 1500 is often called 'Medieval' music. After this, during the 16th Century, there became a great interest in learning and culture, and it was an age of exploration and discovery. This period is often called the 'Renaissance', which literally means 're-birth'.   Up to this period, instruments were generally considered to be less important than voices, but composers soon took to writing more instrumental music. Very few instruments that we have today were in existence then, and most early instruments had weird and wonderful names. Examples include shawms, sackbuts, lutes, racketts and viols. Recorders, which are still popular today, were also commonplace.  Many instruments, such as viols, were made in 'families' (the same instrument in different sizes), sometimes called 'chests' (a chest of viols, for example). Groups of these instruments playing together were often called 'consorts'.   From about 1600 to 1750, the violin started to take the place of the viol. The harpsichord became the main type of keyboard instrument at this time. Music in this period is often called 'Baroque', which is a name borrowed from architecture. Baroque music is often full of ornamentation and decoration. Often a harpsichord played the chords and a cello played the bass (called the 'Basso Continuo').  Sites in this category cover instruments used in these forms of 'Early' music from the Medieval, Renaissance and Baroque periods.   		
445780	Kids_and_Teens/Arts/Music/Instruments/Electronic	3	Instruments producing musical sounds by electronic means (electrohones), including synthesizers, samplers, and drum machines. Electro-mechanical instruments like the electric piano, or electric guitar should be listed elsewhere ( <a href="/Kids_and_Teens/Arts/Music/Instruments/Keyboard/">Keyboard</a> and <a href="/Kids_and_Teens/Arts/Music/Instruments/Stringed/Guitar/'>Guitars</a> respectively).   		
445797	Kids_and_Teens/Arts/Music/Instruments/Harmonica	5	 		
445774	Kids_and_Teens/Arts/Music/Instruments/Human_Voice	1	Sites listed here provide information about the biological and physical aspects of the human voice. Included are sites covering the proper care of the voice, describing of the anatomy of the voice, and featuring tips and techniques for optimizing the sound of voice. 		
445770	Kids_and_Teens/Arts/Music/Instruments/Jazz_and_Blues	0	 		
445791	Kids_and_Teens/Arts/Music/Instruments/Keyboard	10	Any of various instruments, played by means of a set of piano like keys. Organs, harpsichords, pianos, and accordions are all examples of keyboard instruments.   		
445792	Kids_and_Teens/Arts/Music/Instruments/Keyboard/Harpsichord	2	 		
445793	Kids_and_Teens/Arts/Music/Instruments/Keyboard/Piano	6	Lists sites with information and resources related to  the piano, a musical instrument with metal strings that are struck by hammers worked by levers controlled by a keyboard.   		
445794	Kids_and_Teens/Arts/Music/Instruments/Percussion	21	Instruments which are designed to produce noise when they are struck. Many such instruments use a stretched membrane (membranophones) to create sound while others use the object itself (idiophones). Drums such as timpani, congas, and djembe as well cymbals and gongs, and some melodic instruments such as the marimba, chimes and bells are listed here.   		
445795	Kids_and_Teens/Arts/Music/Instruments/Percussion/Bells	7	 		
445775	Kids_and_Teens/Arts/Music/Instruments/Stringed	29	A musical instrument producing sound when taut strings are plucked, struck, or bowed (chordophones). Usually stringed instruments will include several strings tuned to various pitches and some method of amplifying or resonating the sound of the strings such as a sounding board or hollow chamber. Examples of instruments included here are violins, guitars, dulcimers, harps and sitars.   		
445778	Kids_and_Teens/Arts/Music/Instruments/Stringed/Guitar	7	Sites presenting information about guitars, including acoustic and electric, classical, steel stringed, and bass guitars and similar instruments.   		
445777	Kids_and_Teens/Arts/Music/Instruments/Stringed/Viola_da_Gamba	1	 		
445779	Kids_and_Teens/Arts/Music/Instruments/Stringed/Violin	6	Sites presenting information about violins (sometimes called fiddles in folk music) are listed here.   		
445781	Kids_and_Teens/Arts/Music/Instruments/Woodwind	20	A woodwind instrument produces sound by blowing against an edge or a vibrating reed. Opening or closing holes in the body of the instrument changes the pitch. The oboe, flute and saxophone are all woodwinds. 		
445785	Kids_and_Teens/Arts/Music/Instruments/Woodwind/Bagpipes	3	 		
445788	Kids_and_Teens/Arts/Music/Instruments/Woodwind/Clarinet	2	 		
445789	Kids_and_Teens/Arts/Music/Instruments/Woodwind/Crumhorn	1	 		
445787	Kids_and_Teens/Arts/Music/Instruments/Woodwind/Flute	2	 		
445783	Kids_and_Teens/Arts/Music/Instruments/Woodwind/Oboe	2	 		
445782	Kids_and_Teens/Arts/Music/Instruments/Woodwind/Recorder	4	Instrument consisting of a vertical pipe and 8 finger holes and a whistle mouthpiece.   		
445784	Kids_and_Teens/Arts/Music/Instruments/Woodwind/Saxophone	1	 		
445769	Kids_and_Teens/Arts/Music/Instruments/World_Cultures	1	 		
445800	Kids_and_Teens/Arts/Music/Lyrics	10	Sites in this category will offer the words to various types of songs, such as folk music, rock and pop, lullabyes, country, spirituals, and campfire songs.  <p>  Sites are appropriate for, and of interest to, children under the age of 18. All sites are either educational, reference oriented, or informational in nature.   		
445801	Kids_and_Teens/Arts/Music/Musicians	194	This category is for sites about people who make music. It includes a subcategory for composers. 		
445846	Kids_and_Teens/Arts/Music/Musicians/Choirs	7	 		
445802	Kids_and_Teens/Arts/Music/Musicians/Composers	89	Musical composers, more usually of "classical" music, belong here.   		
445834	Kids_and_Teens/Arts/Music/Musicians/Composers/Bach,_Johann_Sebastian	5	<p>This category lists pages and sites about<b> </b>the<b> </b>German<b> </b>composer <b>Johann Sebastian Bach</b> (1685-1750). He  helped define the Baroque period and is possibly the greatest master of musical counterpoint who ever lived.</p> <p><strong>All sites listed here are suitable for children and teens to read and use for enjoyment and/or for schoolwork.</strong></p> 		
